Resolution,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
2320,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,13362,0.000238,13,1027,861,1300,135.034872
2320,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,273630413,4.872683,13,21048493,14634,273285923,75787925.435754
2336,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,92166,0.001642,14,6583,3386,25084,6512.229430
2336,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,534951,0.009529,14,38210,8044,317784,83272.249269
2336,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,4489847,0.079979,14,320703,78536,2209780,566193.121124
2336,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,225114,0.004010,14,16079,2175,92429,24021.587692
2336,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,1376215,0.024515,14,98301,15684,436503,151931.179664
2336,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,580512,0.010341,14,41465,4717,264515,75227.268203
2336,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,126398,0.002252,14,9028,5207,28365,6295.002120
2336,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,351655,0.006264,14,25118,5790,191663,48490.752758
2336,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,589321,0.010498,14,42094,1606,230146,78349.541662
2336,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,238637,0.004251,14,17045,2018,187982,49307.471855
2336,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,36196,0.000645,14,2585,1293,15603,3754.228385
2336,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,17229,0.000307,14,1230,949,1460,150.857804
2336,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,265757744,4.734009,14,18982696,15941,265184510,70861780.778905
2352,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,55351,0.000982,13,4257,3427,6423,947.697912
2352,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,558623,0.009913,13,42971,8364,346914,93948.518321
2352,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,4593640,0.081520,13,353356,79204,2504989,660207.265176
2352,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,115583,0.002051,13,8891,1697,18630,7155.999371
2352,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,1843951,0.032723,13,141842,19550,986879,267798.475380
2352,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,371495,0.006593,13,28576,4558,168618,46593.683351
2352,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,126121,0.002238,13,9701,5552,20549,5051.581502
2352,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,311220,0.005523,13,23940,5483,192380,51015.079891
2352,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1277571,0.022672,13,98274,1605,790718,222832.933202
2352,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,234107,0.004155,13,18008,2158,188008,51165.079481
2352,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,28140,0.000499,13,2164,1100,10250,2447.531716
2352,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,17822,0.000316,13,1370,953,1699,218.783759
2352,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,267449230,4.746209,13,20573017,14871,267236677,74113206.063746
2368,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,125026,0.002320,13,9617,3366,67634,17553.468658
2368,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,574033,0.010651,13,44156,8613,275501,76897.635158
2368,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,4075288,0.075616,13,313483,83212,1830277,476515.584364
2368,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,133762,0.002482,13,10289,1952,26275,8827.366902
2368,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,1260261,0.023384,13,96943,16387,476299,144816.040962
2368,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,166825,0.003095,13,12832,4822,35494,8515.488120
2368,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,407786,0.007566,13,31368,5886,327656,89034.773491
2368,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,327704,0.006080,13,25208,5254,232143,62256.541651
2368,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,633364,0.011752,13,48720,1591,278825,90054.051084
2368,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,263770,0.004894,13,20290,1985,228306,62509.595753
2368,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,18952,0.000352,13,1457,1123,2299,333.205267
2368,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,16012,0.000297,13,1231,871,1650,249.490314
2368,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,268030508,4.973225,13,20617731,14414,267789481,74265868.987306
2384,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,96109,0.001710,13,7393,3129,46348,11726.555995
2384,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,551576,0.009813,13,42428,7722,303260,81991.570846
2384,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,3826861,0.068082,13,294373,83799,1776275,466003.265601
2384,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,123415,0.002196,13,9493,1900,21049,7566.115119
2384,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,885639,0.015756,13,68126,20485,254285,85332.224948
2384,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,152149,0.002707,13,11703,4948,34758,8284.566706
2384,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,92182,0.001640,13,7090,5079,13288,2229.942451
2384,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,336826,0.005992,13,25909,5399,204462,54271.652554
2384,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,584860,0.010405,13,44989,1753,226934,81519.376598
2384,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,250921,0.004464,13,19301,2107,200749,54663.566430
2384,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,39517,0.000703,13,3039,1228,11951,3602.896404
2384,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,16451,0.000293,13,1265,758,1917,284.543494
2384,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,266824991,4.746950,13,20524999,13949,266469768,73897217.219388
2400,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,779596,0.013862,13,59968,1851,273636,104657.817770
2400,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,4214738,0.074940,13,324210,79917,2060040,539656.977358
2400,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,475074,0.008447,13,36544,4464,330772,88786.464717
2400,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,1538274,0.027351,13,118328,20998,622204,172878.982887
2400,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,239829,0.004264,13,18448,2157,201466,55007.983602
