Samples,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
117,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1646302,0.029158,177,9301,5083,324136,24443.339896
117,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1635182,0.028961,177,9238,5430,220948,19332.945971
117,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1551939,0.027487,177,8768,1525,463857,44030.516991
117,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,723148,0.012808,177,4085,1883,215999,17199.696136
117,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,424223,0.007513,177,2396,1282,106635,7932.423955
117,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,235853,0.004177,177,1332,867,2375,239.121748
117,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,217421401,3.850794,177,1228369,13384,214161838,16095998.717396
118,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,961852,0.017561,169,5691,3241,196783,14844.351632
118,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2757849,0.050352,169,16318,7706,243067,21325.915459
118,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,19706882,0.359803,169,116608,71873,1601648,143117.360012
118,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,1926662,0.035176,169,11400,1866,53752,9421.242163
118,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5318721,0.097108,169,31471,15426,507814,63376.809366
118,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1716099,0.031332,169,10154,4541,349266,33905.679122
118,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1164196,0.021256,169,6888,5317,21705,1672.039188
118,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1424782,0.026013,169,8430,5243,195940,17773.279555
118,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1158449,0.021151,169,6854,1477,223604,29080.003359
118,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,587698,0.010730,169,3477,1909,192399,14634.249104
118,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,261788,0.004780,169,1549,1038,18549,1499.518381
118,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,208288,0.003803,169,1232,707,6790,470.330241
118,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,221362333,4.041574,169,1309836,14139,218346924,16794536.803844
119,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1047778,0.018587,183,5725,3422,202225,14678.257792
119,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2917831,0.051761,183,15944,6773,306026,26649.051327
119,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,22731603,0.403246,183,124216,67689,1965284,188055.697617
119,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2054313,0.036442,183,11225,1875,25292,8930.880650
119,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5285534,0.093762,183,28882,15373,510002,50801.356340
119,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1816314,0.032220,183,9925,4431,342873,31700.523942
119,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1336244,0.023704,183,7301,5161,14577,1883.196956
119,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1428698,0.025344,183,7807,5097,201356,14561.760169
119,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1307041,0.023186,183,7142,1501,245721,30139.010780
119,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,649121,0.011515,183,3547,1909,197548,14449.986730
119,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,288773,0.005123,183,1577,1120,15938,1210.285472
119,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,352208,0.006248,183,1924,854,94076,6998.446720
119,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,215569910,3.824090,183,1177977,13756,212204650,15685253.734070
120,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1049196,0.018488,185,5671,3233,201553,14557.963181
120,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2861834,0.050428,185,15469,7283,187717,17744.627585
120,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,21253801,0.374513,185,114885,69196,1895141,147541.494808
120,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5499292,0.096903,185,29725,14803,642239,61847.752770
120,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1554997,0.027401,185,8405,4191,282668,22228.191048
120,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1324410,0.023337,185,7158,4871,44236,3728.449214
120,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1446003,0.025480,185,7816,5247,202778,14735.851365
120,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1821011,0.032088,185,9843,1544,612884,55383.951986
120,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,658803,0.011609,185,3561,1881,198993,14522.739316
120,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,269199,0.004744,185,1455,1038,6797,497.326767
120,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,260200,0.004585,185,1406,800,14700,1188.766665
120,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2093837,0.036895,185,11318,1915,38093,9041.334050
120,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,218307284,3.846788,185,1180039,14602,214955711,15802519.455558
121,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1290717,0.022957,183,7053,1508,246594,31756.860367
121,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,24894558,0.442787,183,136035,68411,3208862,275559.005811
121,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1817599,0.032329,183,9932,4616,311053,30491.169542
121,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,6327083,0.112537,183,34574,14772,746316,79848.632028
121,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,664395,0.011817,183,3630,2008,195451,14296.402902
121,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,2123903,0.037777,183,11606,5235,650424,49822.490983
121,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,289915,0.005157,183,1584,1137,7328,542.430241
121,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2873695,0.051113,183,15703,7375,278798,24111.027544
121,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1248879,0.022213,183,6824,3368,223580,22233.083312
121,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1226043,0.021807,183,6699,4677,12950,1387.298739
121,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,251630,0.004476,183,1375,846,11389,1098.254202
121,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2253054,0.040074,183,12311,2031,194861,16186.437385
121,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,226139193,4.022229,183,1235733,13801,222874697,16474045.972883
122,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1056710,0.018744,187,5650,3028,211948,15293.634783
122,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,3102345,0.055031,187,16590,7154,325427,26809.454965
122,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,21894463,0.388372,187,117082,71882,1637070,134397.372636
122,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2300386,0.040805,187,12301,1689,133536,13388.056563
122,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5695697,0.101032,187,30458,15307,510778,59139.722822
122,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1954150,0.034663,187,10450,4379,330333,33387.568776
122,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1397880,0.024796,187,7475,5016,101340,7547.015364
122,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1525640,0.027062,187,8158,5381,200675,14757.922068
122,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1348256,0.023916,187,7209,1480,239568,30363.729530
122,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,692173,0.012278,187,3701,1933,196638,14584.541444
