Samples,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
87,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,217838,0.003861,173,1259,828,10861,762.581467
87,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,222926841,3.951168,173,1288594,13035,219958480,16721821.951774
88,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1014779,0.018065,170,5969,3064,186827,15914.075365
88,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2692598,0.047933,170,15838,7165,378836,29967.437304
88,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,19412285,0.345573,170,114189,68765,1629384,135833.764611
88,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,1898098,0.033790,170,11165,1829,29594,8612.675949
88,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,4918622,0.087560,170,28933,14902,461175,54155.187018
88,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1606671,0.028602,170,9451,4248,316370,31383.017877
88,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1136589,0.020233,170,6685,5117,21244,2079.844812
88,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1345260,0.023948,170,7913,5329,205772,15483.768037
88,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1302623,0.023189,170,7662,1540,374694,36754.199834
88,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,626307,0.011149,170,3684,1904,201597,15299.036221
88,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,247290,0.004402,170,1454,1078,13957,1075.853744
88,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,224832,0.004002,170,1322,899,9819,810.668298
88,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,224232101,3.991728,170,1319012,13670,221148552,16959922.453874
89,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,994189,0.017807,175,5681,3335,200545,14898.761059
89,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2679076,0.047984,175,15309,7112,262469,21542.370497
89,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,23279999,0.416963,175,133028,72971,2118578,238148.120882
89,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2109065,0.037775,175,12051,1854,139617,13564.323319
89,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5342118,0.095682,175,30526,16054,597977,61782.900238
89,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1430349,0.025619,175,8173,4729,270772,20220.070334
89,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1186682,0.021254,175,6781,5195,13183,1079.637564
89,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1838778,0.032934,175,10507,5029,386001,35461.133292
89,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1403875,0.025145,175,8022,1607,314901,37753.759871
89,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,739551,0.013246,175,4226,1895,274572,20932.348631
89,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,267268,0.004787,175,1527,1120,7871,640.845979
89,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,228114,0.004086,175,1303,858,11396,1019.197664
89,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,225571870,4.040172,175,1288982,13206,222426786,16812519.731886
90,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1053241,0.018667,179,5884,3272,204628,15867.945189
90,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2740463,0.048569,179,15309,6943,317760,25389.316034
90,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,21698539,0.384562,179,121220,69060,1793441,180635.355445
90,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2124669,0.037655,179,11869,1917,90424,11127.564478
90,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5555917,0.098467,179,31038,14644,596747,66551.407206
90,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1628008,0.028853,179,9095,4210,298049,29930.122126
90,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1284006,0.022756,179,7173,4843,95099,6813.327060
90,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1788694,0.031701,179,9992,5375,377404,31512.700108
90,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1302969,0.023092,179,7279,1569,325097,34250.217578
90,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,662145,0.011735,179,3699,1903,203300,15061.118753
90,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,301405,0.005342,179,1683,1229,8188,556.082334
90,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,253463,0.004492,179,1415,775,10128,996.431436
90,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,224408612,3.977185,179,1253679,13700,221145571,16527826.744530
91,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1195548,0.022222,159,7519,1534,252089,32066.176612
